Code,Description
0,"0 - N/A"
100,"100 - All vehicles -- ASHThmlb"
200,"200 - All vehicles or truck restrictions unknown -- ASHThmlb"
201,"201 - Total Weight Restrictions -- No trucks -- ASH"
202,"202 - Total Weight Restrictions -- GVW 5 tons (10,000 lbs) -- ASHTb"
203,"203 - Total Weight Restrictions -- No trucks except B plates (GVW 4 tons/8,000 lbs) -- ASHTb"
204,"204 - Total Weight Restrictions -- GVW 3 tons (6,000 lbs) -- ASHTb"
205,"205 - Total Weight Restrictions -- GVW 25 tons (50,000 lbs) -- ASHTmlb"
206,"206 - Total Weight Restrictions -- GVW 40 tons (80,000 lbs) -- ASHThmlb"
207,"207 - Per Axle Weight Restrictions -- 5 tons (10,000 lbs) per axle -- ASHTlb"
208,"208 - Total Weight Restrictions -- GVW 10 tons (20,000 lbs) -- ASHTlb"
209,"209 - Total Weight Restrictions -- GVW 3.5 tons (7,000 lbs) -- ASHTb"
210,"210 - Total Weight Restrictions -- GVW 8 tons (16,000 lbs) -- ASHTb"
211,"211 - Total Weight Restrictions -- GVW 6 tons (12,000 lbs) -- ASHTb"
212,"212 - Time and Date Restrictions -- GVW 6 tons (12,000 lbs); restriction 11:00 PM to 6:00 AM -- ASHTb"
213,"213 - Per Axle Weight Restrictions -- 2 tons (4,000 lbs) per axle; GVW 10 tons (20,000 lbs) -- ASHTb"
214,"214 - Total Weight Restrictions -- GVW: 13 tons (26,000 lbs) SU; 25 tons (50,000 lbs) 3-4 axles; 29 tons (58,000 lbs) 5+ axles -- ASHTlb"
215,"215 - Time and Date Restrictions -- No trucks except B plates (GVW 4 tons/8,000 lbs); restriction 4/15 through 6/13 -- ASHThmlb"
216,"216 - Per Axle Weight Restrictions -- 6 tons (12,000 lbs) per axle; GVW 18 tons (36,000 lbs) -- ASHTlb"
217,"217 - Total Weight Restrictions -- GVW 12 tons (24,000 lbs) -- ASHTlb"
218,"218 - Total Weight Restrictions -- GVW 2.5 tons (5,000 lbs) -- ASH"
219,"219 - Total Weight Restrictions -- GVW 15 tons (30,000 lbs) -- ASHTlb"
220,"220 - Total Weight Restrictions -- GVW 74,880 lbs -- ASHThmlb"
221,"221 - Time and Date Restrictions -- GVW 2.5 tons (5,000 lbs); restriction 12:00 AM to 5:00 AM -- ASH"
