NAME,TYPE,ALIAS,LENGTH,DEFAULT,DOMAIN
ANODE,LONG,ANODE,,,NODE
BNODE,LONG,BNODE,,,NODE
BASELINK,TEXT,BASELINK,1,0,BASELINK
ABB,TEXT,ABB,13
ROADNAME,TEXT,ROADNAME,50
DIRECTIONS,TEXT,DIRECTIONS,1,0,DIRECTIONS
TYPE1,TEXT,TYPE1,2,0,VDF
TYPE2,TEXT,TYPE2,2,0,VDF
AMPM1,TEXT,AMPM1,1,0,AMPM
AMPM2,TEXT,AMPM2,1,0,AMPM
POSTEDSPEED1,SHORT,POSTEDSPEED1,,0,POSITIVE
POSTEDSPEED2,SHORT,POSTEDSPEED2,,0,POSITIVE
THRULANES1,SHORT,THRULANES1,,0,POSITIVE
THRULANES2,SHORT,THRULANES2,,0,POSITIVE
THRULANEWIDTH1,SHORT,THRULANEWIDTH1,,0,POSITIVE
THRULANEWIDTH2,SHORT,THRULANEWIDTH2,,0,POSITIVE
PARKLANES1,SHORT,PARKLANES1,,0,POSITIVE
PARKLANES2,SHORT,PARKLANES2,,0,POSITIVE
PARKRES1,TEXT,PARKRES1,2,-,PARKRES
PARKRES2,TEXT,PARKRES2,2,-,PARKRES
BUSLANES1,SHORT,BUSLANES1,,0,BINARY
BUSLANES2,SHORT,BUSLANES2,,0,BINARY
SIGIC,SHORT,SIGIC,,0,BINARY
CLTL,SHORT,CLTL,,0,BINARY
RRGRADECROSS,SHORT,RRGRADECROSS,,0,BINARY
TOLLDOLLARS,TEXT,TOLLDOLLARS,,0
MODES,TEXT,MODES,3,0,HWYMODE
VCLEARANCE,SHORT,VCLEARANCE,,0,VCLEARANCE
NHSIC,SHORT,NHSIC,,0,BINARY
SRA,TEXT,SRA,6,,SRA
CHIBLVD,SHORT,CHIBLVD,,0,BINARY
TOLLSYS,SHORT,TOLLSYS,,0,BINARY
TRUCKRTE,TEXT,TRUCKRTE,1,0,TRUCKRTE
MESO,SHORT,MESO,,0,BINARY
MILES,DOUBLE,MILES,,0
BEARING,TEXT,BEARING,3,X,BEARING
