NAME,TYPE,ALIAS,LENGTH,DEFAULT,DOMAIN
TIPID,TEXT,TIPID,10
ABB,TEXT,ABB,13
ACTION_CODE,TEXT,ACTION_CODE,1,,ACTION
NEW_DIRECTIONS,TEXT,NEW_DIRECTIONS,1,0,DIRECTIONS
NEW_TYPE1,TEXT,NEW_TYPE1,2,0,VDF
NEW_TYPE2,TEXT,NEW_TYPE2,2,0,VDF
NEW_AMPM1,TEXT,NEW_AMPM1,1,0,AMPM
NEW_AMPM2,TEXT,NEW_AMPM2,1,0,AMPM
NEW_POSTEDSPEED1,SHORT,NEW_POSTEDSPEED1,,0,POSITIVE
NEW_POSTEDSPEED2,SHORT,NEW_POSTEDSPEED2,,0,POSITIVE
NEW_THRULANES1,SHORT,NEW_THRULANES1,,0,POSITIVE
NEW_THRULANES2,SHORT,NEW_THRULANES2,,0,POSITIVE
NEW_THRULANEWIDTH1,SHORT,NEW_THRULANEWIDTH1,,0,POSITIVE
NEW_THRULANEWIDTH2,SHORT,NEW_THRULANEWIDTH2,,0,POSITIVE
ADD_PARKLANES1,SHORT,ADD_PARKLANES1,,0
ADD_PARKLANES2,SHORT,ADD_PARKLANES2,,0
CHANGE_PARKRES1,TEXT,CHANGE_PARKRES1,2,0,PARKRES
CHANGE_PARKRES2,TEXT,CHANGE_PARKRES2,2,0,PARKRES
ADD_BUSLANES1,SHORT,ADD_BUSLANES1,,0,ADDBINARY
ADD_BUSLANES2,SHORT,ADD_BUSLANES2,,0,ADDBINARY
ADD_SIGIC,SHORT,ADD_SIGIC,,0,ADDBINARY
ADD_CLTL,SHORT,ADD_CLTL,,0,ADDBINARY
ADD_RRGRADECROSS,SHORT,ADD_RRGRADECROSS,,0,ADDBINARY
CHANGE_TOLLDOLLARS,TEXT,CHANGE_TOLLDOLLARS,,0
NEW_MODES,TEXT,NEW_MODES,3,0,HWYMODE
NEW_VCLEARANCE,SHORT,NEW_VCLEARANCE,,0,VCLEARANCE
